Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
29,parle,speak
30,compris,understood
31,étaient,were
32,attention,Warning
33,voici,here is
35,affaire,case
36,donner,give
37,type,type
38,leurs,their
39,donné,given
40,corps,body
41,endroit,place
42,yeux,eyes
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,première,first
49,côté,side
50,pouvoir,power
51,vieux,old
52,sois,be
53,matin,morning
54,tellement,so much
55,enfant,child
56,point,point
57,venu,came
58,pardon,sorry
59,venez,come
60,devant,in front of
61,vers,towards
62,minutes,minutes
63,demandé,request
64,chambre,bedroom
65,mis,placed
66,aimerais,would like to
67,aujourd'hui,today
69,cause,cause
70,espère,hope
71,eau,water
72,attendez,Wait
73,parti,left
75,boulot,job
77,dirait,would say
78,terre,Earth
79,compte,account
80,donne,given
81,loin,far
82,fin,end
83,croire,believe
84,chérie,sweetheart
86,plutôt,rather
87,aura,will have
88,filles,girls
89,jouer,to play
90,bureau,office
